item,itemLabel,startDate,endDate,sourceDate,psid
Q12890819,Fritz Longchamp,1995-11-07,2001-03-02,2022-08-16,Q12890819-558F977D-D223-4793-B5D2-EA0C629DEA8B
Q12892120,Philippe Antonio Joseph,2001-03-02,2004-02-29,2022-08-16,Q12892120-262AC33C-FB10-422C-A7A6-461DAFB7C0D7
Q3574161,Yvon Siméon,2004-03-17,2005-01-28,2022-08-16,Q3574161-2C2F1832-B314-4B81-9FF3-CDF65C669D3E
Q887405,Hérard Abraham,2005-01-28,2006-06-09,2022-08-16,Q887405-0CF9FF6E-E62F-4DF1-A1A8-984B32A54AC1
Q3456201,Rénald Clérismé,2006-06-09,2008-09-05,,Q3456201-1619ba48-4bf5-145e-200d-87e41aa9dc24
Q1111324,Alrich Nicolas,2008-09-05,2009-11,,Q1111324-c0f86307-4783-9891-16c3-dd83a0a11639
Q86979548,Marie-Michèle Rey,2009-11,2011-10-24,2022-08-16,Q86979548-C5826036-51FB-494D-90BD-EC1626499FE5
Q57854,Laurent Lamothe,2011-10-24,2012-08-06,,Q57854-2a92d512-4448-a3f6-1558-3c280e10d9c2
Q15635856,Pierre-Richard Casimir,2012-08-06,2014-04-02,,Q15635856-f3364a17-4725-15a2-9010-1eb12ca79d24
Q108426423,Duly Brutus,2014-04-02,2015-04-27,,Q108426423-A369641B-5944-4E08-BA6B-DC682CE064EA
Q108426424,Lener Reneaud,2015-04-27,2016-03-23,2022-08-16,Q108426424-CBD8F1C0-53D1-4180-BFA9-9DCCF8340E3E
Q108426425,Pierrot Delienne,2016-03-23,2017-03-13,,Q108426425-4007F0B4-6298-45D4-B806-5E793C96E34B
Q29563695,Antonio Rodrigue,2017-03-13,2018-09-05,2022-08-16,Q29563695-7DA1CF34-FA3C-4F91-B516-78B43A89B122
Q56651422,Bocchit Edmond,2018-09-05,2020-03-04,,Q56651422-54DFE029-6D75-4F60-BFAA-AD309D7F16E9
Q106496152,Claude Joseph,2020-03-04,2021-11-24,,Q106496152-596C0504-F468-43B3-A858-FBACDA8C252E
Q113531338,Jean Victor Généus,2021-11-24,,,Q113531338-3d44b000-45e8-adf3-a23c-cb6da320867b
